# Title: Online Malicious URL Splunk Lookup
# Updated: 2024-09-10T00:48:44Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"103.237.86.136","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.238.235.163","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.239.171.108","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.244.120.222","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.245.10.51","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.251.112.11","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.253.43.175","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.42.198.103","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.42.198.106","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.42.198.20","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.42.249.147","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.42.55.251","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.50.7.123","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.50.7.126","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.57.121.123","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.6.5.3","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.62.233.206","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.69.219.250","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.69.88.185","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.69.88.70","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.7.27.90","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.70.204.50","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.77.186.234","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.78.215.82","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.90.207.234","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.90.207.58","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.92.101.54","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.96.128.3","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"104.129.31.245","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"104.223.90.5","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.13.33.204","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.14.143.152","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.14.213.29","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.14.69.133","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.15.184.255","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.15.224.147","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.15.239.51","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.15.40.123","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.246.224.219","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"106.254.250.98","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
